,title_y,startYear,director,cast,overview,genres_x,runtimeMinutes,averageRating,numVotes,poster_path,original_language,average_popularity_cast,average_popularity_director,popularity,key
10,Twisters,2024,['Lee Isaac Chung'],"['Glen Powell', 'Anthony Ramos', 'Brandon Perea', 'Harry Hadden-Paton', 'Daryl McCormack', 'Nik Dodani', 'Daisy Edgar-Jones', 'Maura Tierney', 'Sasha Lane', 'Kiernan Shipka']","Ancienne chasseuse de tornades, Kate est encore traumatisée par sa confrontation avec une tornade lorsqu'elle était étudiante. Désormais, elle préfère étudier le comportement des tempêtes en toute sécurité depuis New York. Mais lorsque son ami Javi lui demande de tester un nouveau détecteur de tornades, elle accepte de retourner au cœur de l'action. Elle rencontre alors le charmant et téméraire Tyler Owens, célèbre pour ses vidéos de chasse aux tornades postées sur les réseaux sociaux.","['Thriller', 'Action']",122,6.6,126785,https://image.tmdb.org/t/p/original/EytpPm6ylyKcEeVLEhKY3VL2Gi.jpg,en,18.1065,2.862,189.345,https://www.youtube.com/watch?v=U-wd1-TR4bU
11,Furiosa : Une saga Mad Max,2024,['George Miller'],"['Chris Hemsworth', 'Tom Burke', 'George Shevtsov', 'Lachy Hulme', 'Lachy Hulme', 'John Howard', 'Angus Sampson', 'Anya Taylor-Joy', 'Alyla Browne', 'Charlee Fraser', 'Elsa Pataky', 'Elsa Pataky']","Alors que le monde s'écroule, la jeune Furiosa tombe entre les mains d'une horde de motards dirigée par le seigneur de la guerre Dementus. En traversant le Wasteland, ils tombent sur la Citadelle présidée par l'Immortan Joe. Alors que les deux tyrans se battent pour la domination, Furiosa doit survivre à de nombreuses épreuves pour trouver le moyen de rentrer chez elle.","['Action', 'Science Fiction', 'Adventure']",148,7.5,231786,https://image.tmdb.org/t/p/original/hbxqFdWXHeLIJfagMMhVG5SV5tb.jpg,en,18.198,19.855,212.358,https://www.youtube.com/watch?v=f5yhtTRe5Aw
12,Deadpool & Wolverine,2024,['Shawn Levy'],"['Ryan Reynolds', 'Ryan Reynolds', 'Ryan Reynolds', 'Hugh Jackman', 'Hugh Jackman', 'Matthew Macfadyen', 'Jon Favreau', 'Rob Delaney', 'Emma Corrin', 'Dafne Keen', 'Dafne Keen', 'Morena Baccarin', 'Leslie Uggams', 'Jennifer Garner']","Un Wade Wilson désabusé s'abrutit de travail dans le civil. Sa vie de mercenaire moralement flexible, Deadpool, est derrière lui. Mais quand son monde est menacé d'anéantissement, il accepte à contrecœur de reprendre le flambeau, et de convaincre un Wolverine non moins contre-cœureux... contre-cordial ? Contre-cardiaque ? Il doit le convaincre de... ah, laisse tomber, va voir le film. Un synopsis, c'est débile. Mais entends l'avertissement : des flashs lumineux dans l'image pourraient affecter les spectateurs photosensibles.","['Action', 'Comedy', 'Science Fiction']",128,7.7,393493,https://image.tmdb.org/t/p/original/hw3Gfp8xLpoVewMbFyFVRsqyGlK.jpg,en,38.734,18.459,1005.426,https://www.youtube.com/watch?v=KT-8QL04x40
13,The Fall Guy,2024,['David Leitch'],"['Ryan Gosling', 'Aaron Taylor-Johnson', 'Winston Duke', 'Ben Knight', 'Matuse', 'Adam Dunn', 'Emily Blunt', 'Hannah Waddingham', 'Teresa Palmer', 'Stephanie Hsu']","Après avoir quitté le métier un an plus tôt, Colt Seavers, cascadeur, reprend du service lorsque la vedette d'un grand film de studio disparaît soudainement. Alors que le mystère autour de l'acteur disparu s'épaissit, Colt se retrouve bientôt pris au piège d'un sinistre complot qui le pousse au bord d'une chute plus dangereuse que n'importe quelle cascade.","['Action', 'Comedy', 'Romance']",126,6.9,177140,https://image.tmdb.org/t/p/original/3hoJ8iYsEqmPoVdMjS3fdPx00hh.jpg,en,24.2715,8.142,115.5,https://www.youtube.com/watch?v=MvlSLYCGpSA
14,The Substance,2024,['Coralie Fargeat'],"['Dennis Quaid', 'Edward Hamilton-Clark', 'Gore Abrams', 'Oscar Lesage', 'Christian Erickson', 'Robin Greer', 'Tom Morton', 'Hugo Diego Garcia', 'Demi Moore', 'Margaret Qualley']","Elisabeth Sparkle, vedette d’une émission d’aérobic, est licenciée le jour de ses 50 ans à cause de son âge. Le moral au plus bas, elle reçoit une proposition inattendue, celle d'un mystérieux laboratoire lui proposant une « substance » miraculeuse : si elle se l’injecte, elle deviendra la meilleure version d’elle-même, plus jeune, plus belle, plus parfaite grâce à une modification de son ADN...","['Drama', 'Horror', 'Science Fiction']",141,7.5,143482,https://image.tmdb.org/t/p/original/5Jfj6LqxOludXg454Vxef8dCJln.jpg,en,21.1582,27.746,766.85,https://www.youtube.com/watch?v=LbOqfmP-Pb8
15,Challengers,2024,['Luca Guadagnino'],"['Mike Faist', ""Josh O'Connor"", 'Darnell Appling', 'Bryan Doo', 'Shane T Harris', 'Chris Fowler', 'Zendaya', 'Nada Despotovich', 'Joan Mcshane', 'Mary Joe Fernandez']","Pour le sortir d’une série de défaites cuisantes, une entraîneure de tennis convainc son mari, grand champion de calibre mondial, de jouer contre son ancien meilleur ami et son ex à elle dans un tournoi mineur.","['Romance', 'Drama']",131,7.1,119634,https://image.tmdb.org/t/p/original/wCVIoOlw1NG1dAriVLYRcoQyP6o.jpg,en,10.0361,9.45,70.789,https://www.youtube.com/watch?v=mwo4Sg_0g78
16,Jamais plus - It Ends with Us,2024,['Justin Baldoni'],"['Justin Baldoni', 'Hasan Minhaj', 'Brandon Sklenar', 'Kevin McKidd', 'Alex Neustaedter', 'Robert Clohessy', 'Blake Lively', 'Jenny Slate', 'Amy Morton', 'Isabela Ferrer']","Fragilisée par une enfance traumatisante, Lily Bloom se lance dans une nouvelle vie à Boston en ouvrant sa propre boutique de fleurs, son rêve de toujours. De sa rencontre fortuite avec le charmant Ryle Kincaid nait une connexion intense mais, alors que les deux tombent profondément amoureux, Lily commence à entrevoir des aspects sombres de Ryle qui lui rappellent ses parents. La situation se complique davantage lorsque son premier amour réapparait dans sa vie. Lily réalise alors qu'elle va devoir faire face à un choix impossible qui dessinera son avenir.","['Romance', 'Drama']",130,6.5,51451,https://image.tmdb.org/t/p/original/o9WutcofxYyxicnoiw1QNNJaDz3.jpg,en,19.2206,20.095,198.654,https://www.youtube.com/watch?v=Uq-SZT0irNg
17,S.O.S. Fantômes : La Menace de Glace,2024,['Gil Kenan'],"['Paul Rudd', 'Finn Wolfhard', 'Kumail Nanjiani', 'Patton Oswalt', 'Logan Kim', 'James Acaster', 'Carrie Coon', 'Mckenna Grace', ""Celeste O'Connor"", 'Emily Alyn Lind']","La famille Spengler revient là où tout a commencé, l'emblématique caserne de pompiers de New York. Ils vont alors devoir faire équipe avec les membres originels de S.O.S. Fantômes, qui ont mis en place un laboratoire de recherche top secret pour faire passer la chasse aux fantômes à la vitesse supérieure. Lorsque la découverte d'un ancien artefact libère une force maléfique, les deux équipes S.O.S. Fantômes doivent unir leurs forces pour protéger leurs maisons et sauver le monde d'une seconde ère glaciaire.","['Fantasy', 'Adventure', 'Comedy']",115,6.1,84289,https://image.tmdb.org/t/p/original/pCQigDbfbMxBlj5OxYECIxibam1.jpg,en,20.86,1.825,74.049,https://www.youtube.com/watch?v=hZusyQzYS6k
18,Le Ministère de la Sale Guerre,2024,['Guy Ritchie'],"['Henry Cavill', 'Alan Ritchson', 'Alex Pettyfer', 'Babs Olusanmokun', 'Cary Elwes', 'Hero Fiennes Tiffin', 'Henry Golding', 'Rory Kinnear', 'Til Schweiger', 'Eiza González']","L'histoire de la toute première organisation de forces spéciales créée pendant la Seconde Guerre mondiale par le Premier ministre britannique Winston Churchill et un petit groupe de responsables militaires, dont l'auteur Ian Fleming. Cette unité de combat ultrasecrète, composée d'une équipe hétéroclite de voyous et de francs-tireurs, entreprend une mission audacieuse contre les nazis en utilisant des techniques de combat tout à fait non conventionnelles et tout à fait ""non gentleman"". En fin de compte, leur approche audacieuse a changé le cours de la guerre et a jeté les bases du SAS britannique et de la guerre moderne des opérations secrètes.","['Action', 'Comedy', 'War']",122,6.8,114752,https://image.tmdb.org/t/p/original/cEsfWlqC89pec6402kGUaw3J48L.jpg,en,25.0526,23.576,111.31,indisponible
19,Road House,2024,['Doug Liman'],"['Jake Gyllenhaal', 'Conor McGregor', 'Billy Magnussen', 'Joaquim de Almeida', 'Post Malone', 'Lukas Gage', 'Dominique Columbus', 'Daniela Melchior', 'Jessica Williams', 'B.K. Cannon']","Dalton, un ancien combattant de l'UFC tente d'échapper à son sombre passé et à son penchant pour la violence. Il est repéré par Frankie, propriétaire d'un relais routier dans les Keys de Floride. Elle l'engage comme nouveau videur dans l'espoir d'empêcher un gang violent, travaillant pour le patron du crime Brandt, de détruire son bar bien-aimé.","['Action', 'Thriller']",121,6.2,156611,https://image.tmdb.org/t/p/original/eMoPZHBRu2yrFBm8tefqJKg1JfF.jpg,en,15.708099999999998,6.635,106.253,https://www.youtube.com/watch?v=ESaz2TH2V4M
