,title_y,startYear,director,cast,overview,genres_x,runtimeMinutes,averageRating,numVotes,poster_path,original_language,average_popularity_cast,average_popularity_director,popularity,key
93,Terrifier 2,2022,['Damien Leone'],"['David Howard Thornton', 'Elliott Fullam', 'Charlie McElveen', 'Johnath Davis', 'Lauren LaVera', 'Sarah Voigt', 'Kailey Hyman', 'Casey Hartnett', 'Amelie McLain', 'Samantha Scaffidi']","Art le Clown est ressuscité à la morgue par une entité mystérieuse et sinistre. Un an plus tard, le soir d'Halloween, le psychopathe déguisé revient dans le comté de Miles. Une fois sur place il décide d'attaquer Sienna Shaw, une adolescente, et Jonathan, son jeune frère. Le défunt père des deux cibles leur avait en effet légué un livre de croquis plein d'images prémonitoires sur l'avenir d'Art le Clown.","['Horror', 'Thriller']",138,6.1,66002,https://image.tmdb.org/t/p/original/njqfucSkcxaIp7l2lbVNXOqyzeJ.jpg,en,10.9397,9.072,163.047,https://www.youtube.com/watch?v=i9tZKEFl6cc
94,La Main,2022,"['Danny Philippou', 'Michael Philippou']","['Ari McCarthy', 'Hamish Phillips', 'Kit Erhart-Bruce', 'Jayden Davison', 'Sunny Johnson', 'Marcus Johnson', 'James Oliver', 'Sarah Brokensha', 'Sophie Wilde', 'Kidaan Zelleke']","Lorsqu'un groupe d'amis découvre comment conjurer les esprits à l'aide d'une mystérieuse main hantée, ils deviennent accros à ce nouveau frisson, et l’expérience fait le tour des réseaux sociaux. Une seule règle à respecter : ils ne doivent pas tenir la main plus de 90 secondes. Lorsque l’un d’entre eux l’enfreint, ils vont être rattrapés par les esprits, les obligeant à choisir : à qui se fier, aux morts ou aux vivants ?",['Horror'],95,7.1,170042,https://image.tmdb.org/t/p/original/yoZmZOIk35ZuH0WJoakB81ypHUH.jpg,en,2.1211,1.4455,59.145,https://www.youtube.com/watch?v=em7Mzfr9-J4
95,Le Menu,2022,['Mark Mylod'],"['Ralph Fiennes', 'Nicholas Hoult', 'Paul Adelstein', 'John Leguizamo', 'Reed Birney', 'Anya Taylor-Joy', 'Hong Chau', 'Janet McTeer', 'Aimee Carrero', 'Judith Light']","Sur une île isolée, un jeune couple pénètre dans un restaurant gastronomique ayant une très bonne réputation. Le chef se lance alors dans un menu somptueux assorti à quelques surprises stupéfiantes.","['Comedy', 'Horror', 'Thriller']",107,7.2,424881,https://image.tmdb.org/t/p/original/z9KjjwNcY6WhhA2HGCOzNOa0Lg6.jpg,en,29.8155,3.737,53.525,https://www.youtube.com/watch?v=evmdPkItZl8
96,Sans filtre,2022,['Ruben Östlund'],"['Thobias Thorwid', 'Harris Dickinson', 'Jiannis Moustos', 'Timoleon Gketsos', 'Woody Harrelson', 'Zlatko Buric', 'Charlbi Dean', 'Vicki Berlin', 'Dolly De Leon', 'Alicia Eriksson']","Après la Fashion Week, Carl et Yaya, couple de mannequins et influenceurs, sont invités sur un yacht pour une croisière de luxe. Tandis que l’équipage est aux petits soins avec les vacanciers, le capitaine refuse de sortir de sa cabine alors que le fameux dîner de gala approche. Les événements prennent une tournure inattendue et les rapports de force s'inversent lorsqu'une tempête se lève et met en danger le confort des passagers. Palme d'Or 2022","['Comedy', 'Drama']",147,7.3,191541,https://image.tmdb.org/t/p/original/r6i19y9p08YBnZHUbJPODAg0XII.jpg,en,7.505,1.565,28.757,https://www.youtube.com/watch?v=lKoE619uyBQ
97,Scream,2022,"['Matt Bettinelli-Olpin', 'Tyler Gillett']","['David Arquette', 'Jack Quaid', 'Dylan Minnette', 'Mason Gooding', 'Neve Campbell', 'Courteney Cox', 'Melissa Barrera', 'Mikey Madison', 'Jenna Ortega', 'Jasmin Savoy Brown']","25 ans après que la paisible ville de Woodsboro a été frappée par une série de meurtres violents, un nouveau tueur revêt le masque de Ghostface et prend pour cible un groupe d’adolescents. Il est déterminé à faire ressurgir les sombres secrets du passé.","['Horror', 'Mystery', 'Thriller']",114,6.3,167965,https://image.tmdb.org/t/p/original/2k0mHrCtIydYR0RA4RyjhRc2hNN.jpg,en,29.6378,4.166,74.743,https://www.youtube.com/watch?v=z_FVI4_L1gg
98,Bullet Train,2022,['David Leitch'],"['Brad Pitt', 'Aaron Taylor-Johnson', 'Brian Tyree Henry', 'Andrew Koji', 'Hiroyuki Sanada', 'Michael Shannon', 'Bad Bunny', 'Logan Lerman', 'Joey King', 'Sandra Bullock']","Coccinelle est un assassin malchanceux et particulièrement déterminé à accomplir sa nouvelle mission paisiblement après que trop d'entre elles aient déraillé. Mais le destin en a décidé autrement et l'embarque dans le train le plus rapide au monde aux côtés d'adversaires redoutables qui ont tous un point commun, mais dont les intérêts divergent radicalement… Il doit alors tenter par tous les moyens de descendre du train.","['Action', 'Comedy', 'Thriller']",127,7.3,468506,https://image.tmdb.org/t/p/original/uJvMXO1DNEER2lZocNjJy2zXtYs.jpg,en,32.8673,8.142,56.216,https://www.youtube.com/watch?v=8pdEgUm3gHs
99,Le Pire Voisin au monde,2022,['Marc Forster'],"['Tom Hanks', 'John Higgins', 'Tony Bingham', 'Mack Bayda', 'Cameron Britton', 'Peter Lawson Jones', 'Mariana Treviño', 'Rachel Keller', 'Lily Kozub', 'Juanita Jennings']","Depuis la mort de sa femme Sonya, Otto est devenu grincheux et dépressif. Il se sent vieux et n'attend plus qu'une seule chose : la mort. Renvoyé de son emploi, il erre sans but, surveille le quartier et se brouille avec ses voisins. C'est alors que l'arrivée d'une nouvelle famille dans la rue, avec notamment deux petites filles, va bouleverser son quotidien.","['Comedy', 'Drama']",126,7.5,179879,https://image.tmdb.org/t/p/original/7Sc5hW5HhK2HWGF35MkGtv8guHF.jpg,en,10.549499999999998,7.72,57.033,https://www.youtube.com/watch?v=Zgu_TFdrNe4
100,Amsterdam,2022,['David O. Russell'],"['Christian Bale', 'John David Washington', 'Alessandro Nivola', 'Chris Rock', 'Matthias Schoenaerts', 'Michael Shannon', 'Mike Myers', 'Margot Robbie', 'Andrea Riseborough', 'Anya Taylor-Joy']",L'histoire de trois amis proches qui se retrouvent au centre de l’une des intrigues parmi les plus secrètes et choquantes de l'histoire américaine.,"['Mystery', 'Comedy', 'Drama']",134,6.1,97719,https://image.tmdb.org/t/p/original/AoVl7S2fFhPylmh1EZQJ264IqZ8.jpg,en,27.9347,5.111,19.884,https://www.youtube.com/watch?v=vNLmkP9WtJs
101,Buzz l'Éclair,2022,['Angus MacLane'],"['Chris Evans', 'Peter Sohn', 'Peter Sohn', 'Taika Waititi', 'James Brolin', 'Isiah Whitlock Jr.', 'Angus MacLane', 'Angus MacLane', 'Keke Palmer', 'Dale Soules', 'Uzo Aduba', 'Mary McDonald-Lewis']","La véritable histoire du légendaire Ranger de l’espace qui, depuis, a inspiré le jouet que nous connaissons tous. Après s’être échoué avec sa commandante et son équipage sur une planète hostile située à 4,2 millions d’années-lumière de la Terre, Buzz l’Éclair tente de ramener tout ce petit monde sain et sauf à la maison. Pour cela, il peut compter sur le soutien d’un groupe de jeunes recrues ambitieuses et sur son adorable chat robot, Sox. Mais l’arrivée du terrible Zurg et de son armée de robots impitoyables ne va pas leur faciliter la tâche, d’autant que ce dernier a un plan bien précis en tête…","['Animation', 'Science Fiction', 'Family', 'Adventure']",105,6.1,127887,https://image.tmdb.org/t/p/original/7Xr68P8h2V7P9rwh7Eb6wwpSTUR.jpg,en,12.737833333333334,3.779,30.825,https://www.youtube.com/watch?v=SUBKkA2CHtA
102,Tár,2022,['Todd Field'],"['Adam Gopnik', 'Marc-Martin Straub', 'Egon Brandstetter', 'Cate Blanchett', 'Noémie Merlant', 'Nina Hoss', 'Sophie Kauer', 'Ylva Pollak', 'Paula Först', 'Sylvia Flote']","Lydia Tár, cheffe avant-gardiste d’un grand orchestre symphonique allemand, est au sommet de son art et de sa carrière. Le lancement de son livre approche et elle prépare un concerto très attendu de la célèbre Symphonie n° 5 de Gustav Mahler. Mais, en l’espace de quelques semaines, sa vie va se désagréger d’une façon singulièrement actuelle. En émerge un examen virulent des mécanismes du pouvoir, de leur impact et de leur persistance dans notre société.","['Drama', 'Music']",158,7.4,98650,https://image.tmdb.org/t/p/original/vH1RnXfuz8n71xgF1t2xSRYYfe6.jpg,en,7.7687,4.632,23.397,https://www.youtube.com/watch?v=X1EgPoqvmO8
103,La Maison,2022,"['Paloma Baeza', 'Emma De Swaef', 'Niki Lindroth von Bahr', 'Marc James Roels']","['Matthew Goode', 'Mark Heap', 'Joshua McGuire', 'David Peacock', 'David Peacock', 'Barnaby Pilling', 'Mia Goth', 'Claudie Blakley', 'Eleanor De Swaef-Roels', 'Stephanie Cole', 'Miranda Richardson']","Dans cette comédie noire animée, une mystérieuse maison unit une famille pauvre, un développeur anxieux et une propriétaire exaspérée à travers des époques différentes.","['Animation', 'Drama', 'Comedy', 'Horror', 'Fantasy']",97,6.8,23555,https://image.tmdb.org/t/p/original/iWrS2AH78Fg8zE0vVWfR9rCoavC.jpg,en,9.226909090909093,2.06,15.92,indisponible
104,Enola Holmes 2,2022,['Harry Bradbeer'],"['Henry Cavill', 'David Thewlis', 'Louis Partridge', 'Adeel Akhtar', 'John Parshall', 'Millie Bobby Brown', 'Susan Wokoma', 'Sharon Duncan-Brewster', 'Helena Bonham Carter', 'Sofia Stavrinou']","Elle brave les dangers, redresse les torts et tombe peut-être même amoureuse. La jeune et audacieuse Enola Holmes reprend l'enquête dans cette aventure palpitante.","['Adventure', 'Mystery', 'Crime']",129,6.8,106113,https://image.tmdb.org/t/p/original/n4MNnDDVm86AELe1fxbLvxHYeyh.jpg,en,21.8033,1.03,22.543,https://www.youtube.com/watch?v=J7Zhm5v_uSQ
105,Emancipation,2022,['Antoine Fuqua'],"['Will Smith', 'Ben Foster', 'Gilbert Owuor', 'Ronnie Gene Blevins', 'Aaron Moten', 'Jabbar Lewis', 'Michael Luwoye', 'Steven Ogg', 'Grant Harvey', 'Charmaine Bingwa']","La glorieuse histoire de Peter, un homme qui échappe à l’esclavage grâce à son intelligence, son inébranlable foi et son amour pour sa famille. Entre des chasseurs sans pitié lancés à sa poursuite et les redoutables marais de la Louisiane, il part à la conquête de sa liberté.","['Drama', 'War', 'History']",132,6.3,28514,https://image.tmdb.org/t/p/original/aXhHBixgQROKsUhu5L4Rsuashqq.jpg,en,12.3624,3.132,21.668,https://www.youtube.com/watch?v=s6sqTKqDBX0
106,The Whale,2022,['Darren Aronofsky'],"['Brendan Fraser', 'Ty Simpkins', 'Sathya Sridharan', 'Lance Oppenheim', 'Sadie Sink', 'Hong Chau', 'Samantha Morton', 'Jacey Sink', 'Allison Altman', 'Grace Perkins']","Charlie, professeur d'anglais reclus souffrant d'obésité, tente de renouer avec sa fille adolescente pour une ultime chance de rédemption.",['Drama'],117,7.6,228668,https://image.tmdb.org/t/p/original/5jilYAMUKk9U5K9phmbFOEDqfR3.jpg,en,11.6518,6.685,50.745,https://www.youtube.com/watch?v=sX4QZqX_H60
107,Aftersun,2022,['Charlotte Wells'],"['Paul Mescal', 'Brooklyn Toulson', 'Spike Fearn', 'Harry Perdios', 'Frank Corio', 'Frankie Corio', 'Celia Rowlson-Hall', 'Sally Messham', 'Ayse Parlak', 'Sophia Lamanova']","Avec mélancolie, Sophie se remémore les vacances d’été passées avec son père vingt ans auparavant : les moments de joie partagée, leur complicité, parfois leurs désaccords. Elle repense aussi à ce qui planait au-dessus de ces instants si précieux : la sourde et invisible menace d’un bonheur finissant. Elle tente alors de chercher parmi ces souvenirs des réponses à la question qui l’obsède depuis tant d’années : qui était réellement cet homme qu’elle a le sentiment de ne pas connaître ?",['Drama'],102,7.6,104908,https://image.tmdb.org/t/p/original/wAfdj4F0ctkHBR7sQA1aq4wu3f5.jpg,en,6.1346,2.857,33.188,https://www.youtube.com/watch?v=P90iTMBTw2A
108,Nos cœurs meurtris,2022,['Elizabeth Allen Rosenbaum'],"['Nicholas Galitzine', 'Chosen Jacobs', 'John Harlan Kim', 'Linden Ashby', 'Scott Deckert', 'Anthony Ippolito', 'Sofia Carson', 'Kat Cunning', 'Loren Escandon', 'Sarah Rich']","Malgré tout ce qui les sépare, Cassie (Sofia Carson), qui aspire à devenir chanteuse, et Luke (Nicholas Galitzine), un marine marqué par la vie, décident de se marier pour bénéficier des avantages accordés aux militaires et à leurs épouses. Mais lorsque la tragédie les frappe, la frontière entre le vrai et le faux s'estompe peu à peu.","['Romance', 'Drama']",122,6.7,58690,https://image.tmdb.org/t/p/original/byLPCHeM57kJ3GMx6IZJMNiOUEf.jpg,en,17.7111,1.478,40.708,https://www.youtube.com/watch?v=LBTBL2ZHS30
109,Treize vies,2022,['Ron Howard'],"['Viggo Mortensen', 'Colin Farrell', 'Joel Edgerton', 'Tom Bateman', 'Paul Gleeson', 'Girati Sugiyama', 'Teeradon Supapunpinyo', 'Pasakorn Hoyhon', 'Tanatat Srita', 'Nophand Boonyai', '']","Inspiré d'une histoire vraie qui a captivé le monde, ""Treize Vies"" retrace de manière palpitante le sauvetage de jeunes footballeurs dans la grotte de Tham Luang, en Thaïlande, piégés par des pluies torrentielles et une dangereuse inondation.","['Drama', 'Thriller']",147,7.8,71182,https://image.tmdb.org/t/p/original/tgbfXKmK4LPPUniWE8novCPE6xR.jpg,en,7.703636363636363,15.759,25.293,https://www.youtube.com/watch?v=_QGS_poXnRI
110,Everything Everywhere All at Once,2022,"['Daniel Kwan', 'Daniel Scheinert']","['Ke Huy Quan', 'James Hong', 'Harry Shum Jr.', 'Biff Wiff', 'Michelle Yeoh', 'Stephanie Hsu', 'Stephanie Hsu', 'Jamie Lee Curtis', 'Tallie Medel', 'Jenny Slate', 'Sunita Mani']","Evelyn Wang est à bout : elle ne comprend plus sa famille, son travail et croule sous les impôts… Soudain, elle se retrouve plongée dans le multivers, des mondes parallèles où elle explore toutes les vies qu’elle aurait pu mener. Face à des forces obscures, elle seule peut sauver le monde mais aussi préserver la chose la plus précieuse : sa famille.","['Action', 'Adventure', 'Science Fiction']",139,7.8,558832,https://image.tmdb.org/t/p/original/qHy7BlA1I3iUEIGp7atsMjSNJSK.jpg,en,13.878545454545453,6.4155,57.204,https://www.youtube.com/watch?v=sWd6-rZ_e5E
111,Coup de théâtre,2022,['Tom George'],"['Kieran Hodgson', 'Gregory Cox', 'Harris Dickinson', 'Charlie Cooper', 'Oliver Jackson', 'Tomi Ogbaro', 'Reece Shearsmith', 'Pearl Chanda', 'Maggie McCarthy', 'Ruth Wilson']","Dans le West End des années 50 à Londres, la préparation de l’adaptation cinématographique d’une pièce à succès est brutalement interrompue par le meurtre de son réalisateur hollywoodien. En charge de l’enquête, l’inspecteur Stoppard - blasé et revenu de tout - et l’agent Stalker - une jeune recrue du genre zélée - se retrouvent plongés au cœur d’une enquête dans les coulisses à la fois glamour et sordides du théâtre. A leurs risques et périls, ils vont tenter d’élucider ce crime bien mystérieux...","['Mystery', 'Comedy', 'Crime']",98,6.5,67364,https://image.tmdb.org/t/p/original/6lHa2jM7iA218V7shQoJjsodhnc.jpg,en,6.299,2.602,12.876,https://www.youtube.com/watch?v=_18cMflkdCk
112,Les Animaux fantastiques : Les Secrets de Dumbledore,2022,['David Yates'],"['Eddie Redmayne', 'Jude Law', 'Ezra Miller', 'Dan Fogler', 'Mads Mikkelsen', 'Paul Low-Hang', 'Cara Mahoney', 'Katherine Waterston', 'Poppy Corby-Tuech', 'Maja Bloom']","Le professeur Albus Dumbledore sait que le puissant mage noir Gellert Grindelwald cherche à prendre le contrôle du monde des sorciers. Incapable de l’empêcher d’agir seul, il sollicite le magizoologiste Norbert Dragonneau pour qu’il réunisse des sorciers, des sorcières et un boulanger moldu au sein d’une équipe intrépide. Leur mission des plus périlleuses les amènera à affronter des animaux, anciens et nouveaux, et les disciples de plus en plus nombreux de Grindelwald. Pourtant, dès lors que que les enjeux sont aussi élevés, Dumbledore pourra-t-il encore rester longtemps dans l’ombre ?","['Fantasy', 'Adventure']",142,6.2,178150,https://image.tmdb.org/t/p/original/gzvSMS4MqBg2ThgGOS2YkNkoebf.jpg,en,18.479,5.208,66.801,https://www.youtube.com/watch?v=Rc7jr8AY8Fo
113,Top Gun : Maverick,2022,['Joseph Kosinski'],"['Tom Cruise', 'Miles Teller', 'Val Kilmer', 'Bashir Salahuddin', 'Jon Hamm', 'Charles Parnell', 'Lewis Pullman', 'Jay Ellis', 'Jennifer Connelly', 'Monica Barbaro']","Après avoir été l’un des meilleurs pilotes de chasse de l'Aéronavale américaine pendant plus de trente ans, Pete “Maverick"" Mitchell continue à repousser ses limites en tant que pilote d'essai. Il refuse de monter en grade, car cela l’obligerait à renoncer à voler. Il est chargé de former un détachement de jeunes diplômés de l’école Top Gun pour une mission spéciale qu’aucun pilote n'aurait jamais imaginée. Lors de cette mission, Maverick rencontre le lieutenant Bradley “Rooster” Bradshaw, le fils de son défunt ami, le navigateur Nick “Goose” Bradshaw. Face à un avenir incertain, hanté par ses fantômes, Maverick va devoir affronter ses pires cauchemars au cours d’une mission qui exigera les plus grands sacrifices.","['Action', 'Drama']",130,8.2,741309,https://image.tmdb.org/t/p/original/kTh1s6I6yUyk2OGiRoGkDTYTS6K.jpg,en,28.5714,5.261,129.935,https://www.youtube.com/watch?v=Y3RSkiZFmG8
114,Prey,2022,['Dan Trachtenberg'],"['Dakota Beavers', 'Dane DiLiegro', 'Stormee Kipp', 'Julian Black Antelope', 'Bennett Taylor', 'Mike Paterson', 'Nelson Leis', 'Amber Midthunder', 'Michelle Thrush', 'Stefany Mathias']","Lorsque le danger menace son camp, la féroce et très habile guerrière Comanche Naru se met en route pour protéger son peuple. Mais la proie qu'elle traque s'avère être un prédateur extraterrestre très évolué doté d'un arsenal techniquement avancé.","['Thriller', 'Action', 'Science Fiction']",100,7.1,239725,https://image.tmdb.org/t/p/original/69BH9YefDbStihTi0FJhTJxmtDo.jpg,en,5.1124,3.059,83.136,https://www.youtube.com/watch?v=DcuPy47vOJ8
115,Glass Onion : Une histoire à couteaux tirés,2022,['Rian Johnson'],"['Daniel Craig', 'Edward Norton', 'Dave Bautista', 'Leslie Odom Jr.', 'Noah Segan', 'Kate Hudson', 'Janelle Monáe', 'Kathryn Hahn', 'Jessica Henwick', 'Madelyn Cline']","Direction la Grèce pour le célèbre détective Benoit Blanc, qui doit élucider un mystère entourant un milliardaire de la technologie et son groupe d'amis hauts en couleur.","['Comedy', 'Crime', 'Mystery']",139,7.1,461068,https://image.tmdb.org/t/p/original/j8mGH7DzwUD9soODpUI64PWNumg.jpg,en,26.4031,6.055,50.877,https://www.youtube.com/watch?v=wTWhPxBaev4
116,"Sonic 2, le film",2022,['Jeff Fowler'],"['James Marsden', 'Jim Carrey', 'Ben Schwartz', 'Idris Elba', 'Adam Pally', 'Shemar Moore', 'Lee Majdoub', 'Tika Sumpter', 'Natasha Rothwell', ""Colleen O'Shaughnessey""]","Bien installé dans la petite ville de Green Hills, Sonic veut maintenant prouver qu’il a l’étoffe d' un véritable héros. Un défi de taille se présente à lui quand le Dr Robotnik refait son apparition. Accompagné de son nouveau complice Knuckles, ils sont en quête d’une émeraude dont le pouvoir permettrait de détruire l’humanité tout entière. Pour s’assurer que l’émeraude ne tombe entre de mauvaises mains, Sonic fait équipe avec Tails. Commence alors un voyage à travers le monde, plein de péripéties.","['Action', 'Adventure', 'Family', 'Comedy']",122,6.5,93217,https://image.tmdb.org/t/p/original/7RSCL6V8BlekgVnNPok6tLW50tP.jpg,en,20.9383,5.318,155.743,https://www.youtube.com/watch?v=8aNsT2z7ONc
117,Nope,2022,['Jordan Peele'],"['Daniel Kaluuya', 'Brandon Perea', 'Michael Wincott', 'Steven Yeun', 'Keith David', 'Devon Graye', 'Terry Notary', 'Keke Palmer', 'Wrenn Schmidt', 'Barbie Ferreira']","Dans une ferme reculée en Californie, Otis « O.J. » Haywood et sa sœur travaillent ensemble dans leur écurie pour un réalisateur respecté. Mais, après la mort soudaine et étrange de leur père, tué par un objet tombé du ciel, le duo est aidé par Angel, employé dans une société de caméras de surveillance, où ils vont découvrir la présence d’une force mystérieuse et meurtrière présente dans le ciel.","['Horror', 'Mystery', 'Science Fiction']",130,6.8,288555,https://image.tmdb.org/t/p/original/b1z84OMbtzmFWsiQWyonoPqWY2Z.jpg,en,12.9129,14.949,36.918,https://www.youtube.com/watch?v=okLHXOOk_uI
118,Ambulance,2022,['Michael Bay'],"['Jake Gyllenhaal', 'Yahya Abdul-Mateen II', 'Garret Dillahunt', ""Keir O'Donnell"", 'Jackson White', 'Colin Woodell', 'Cedric Sanders', 'Eiza González', 'Olivia Stambouliah', 'Moses Ingram']","À Los Angeles, Will Sharp est un homme sans histoires de la classe moyenne. Alors qu'il a désespérément besoin de 231 000 $ pour les soins médicaux de sa femme, il contacte Danny son frère criminel pour l'aider. Celui-ci le recrute pour un braquage pouvant rapporter près de 32 millions de dollars : The LA Federal Bank Trust. Mais rien ne se passe comme prévu et les deux frères tirent sur un officier du LAPD. Pour s'enfuir, ils volent une ambulance. À son bord se trouvent Cam Thompson, une ambulancière, et l'officier de police mourant sur lequel ils ont tiré. Pendant la course poursuite infernale qui s’ensuit, Will et Danny vont devoir échapper aux forces de l’ordre surmotivées postées aux quatre coins de la ville, tenter de garder leurs otages en vie et éviter de s’entre-tuer tout en exécutant l’évasion la plus spectaculaire que la ville de Los Angeles n’ait jamais vue.","['Thriller', 'Action', 'Crime']",136,6.1,104740,https://image.tmdb.org/t/p/original/4sqR8inmMdce1dUd6RVXQABaDVB.jpg,en,15.2284,8.769,35.366,https://www.youtube.com/watch?v=yr-7abHk6ZM
119,Don't Worry Darling,2022,['Olivia Wilde'],"['Harry Styles', 'Chris Pine', 'Nick Kroll', 'Asif Ali', 'Florence Pugh', 'Olivia Wilde', 'KiKi Layne', 'Gemma Chan', 'Sydney Chandler', 'Kate Berlant']","La chronique d'une communauté isolée dans le désert californien en plein coeur des années 1950, au sein de laquelle une femme voit sa vie être chamboulée.","['Mystery', 'Thriller']",123,6.3,157458,https://image.tmdb.org/t/p/original/ArneGw1hCPNPKdftFCkmXO6wBhu.jpg,en,17.7588,21.857,38.702,https://www.youtube.com/watch?v=p_RVQ7-q4Yw
120,Les Minions 2 : Il était une fois Gru,2022,"['Kyle Balda', 'Brad Ableson', 'Jonathan del Val']","['Steve Carell', 'Pierre Coffin', 'Alan Arkin', 'Russell Brand', 'Jean-Claude Van Damme', 'Dolph Lundgren', 'Danny Trejo', 'Taraji P. Henson', 'Michelle Yeoh', 'Julie Andrews']","Alors que les années 70 battent leur plein, Gru qui grandit en banlieue au milieu des jeans à pattes d’éléphants et des chevelures en fleur, met sur pied un plan machiavélique à souhait pour réussir à intégrer un groupe célèbre de super méchants, connu sous le nom de Vicious 6, dont il est le plus grand fan. Il est secondé dans sa tâche par les Minions, ses petits compagnons aussi turbulents que fidèles. Avec l’aide de Kevin, Stuart, Bob et Otto – un nouveau Minion arborant un magnifique appareil dentaire et un besoin désespéré de plaire - ils vont déployer ensemble des trésors d’ingéniosité afin de construire leur premier repaire, expérimenter leurs premières armes, et lancer leur première mission. Gru passe l’audition pour intégrer l’équipe. Le moins qu’on puisse dire c’est que l’entrevue tourne mal, et soudain court quand Gru leur démontre sa supériorité et se retrouve soudain leur ennemi juré.","['Animation', 'Comedy', 'Family', 'Adventure']",87,6.5,94254,https://image.tmdb.org/t/p/original/pA05WmBZLEu32peDDh3I4VuVPsu.jpg,en,24.4389,2.6980000000000004,75.878,https://www.youtube.com/watch?v=Vhs9D_sh3Uo
121,Ticket to Paradise,2022,['Ol Parker'],"['George Clooney', 'Sean Lynch', 'Charles Allen', 'Maxime Bouttier', 'Francis McMahon', 'Julia Roberts', ""Arielle Carver-O'Neill"", 'Ling Cooper Tang', 'Billie Lourd', 'Kaitlyn Dever']","Deux parents divorcés, David et Georgia, se rendent à Bali après avoir appris que leur fille, Lily, envisage d'épouser un homme nommé Gede, qu'elle vient de rencontrer. Ils décident de travailler ensemble pour saboter le mariage afin d'empêcher Lily de commettre la même erreur qu'eux il y a vingt-cinq ans.","['Drama', 'Comedy', 'Romance']",104,6.1,73813,https://image.tmdb.org/t/p/original/nWL9F8Rn29tVm6wzuG3P3t6J5JD.jpg,en,9.1292,6.86,22.243,https://www.youtube.com/watch?v=y0nsQpecXMA
122,The Fabelmans,2022,['Steven Spielberg'],"['Gabriel LaBelle', 'Paul Dano', 'Judd Hirsch', 'Seth Rogen', 'Mateo Zoryan', 'Michelle Williams', 'Keeley Karsten', 'Alina Brace', 'Julia Butters', 'Birdie Borria']","Passionné de cinéma, Sammy Fabelman passe son temps à filmer sa famille. S’il est encouragé dans cette voie par sa mère Mitzi, dotée d’un tempérament artistique, son père Burt, scientifique accompli, considère que sa passion est surtout un passe-temps. Au fil des années, Sammy, à force de pointer sa caméra sur ses parents et ses sœurs, est devenu le documentariste de l’histoire familiale ! Il réalise même de petits films amateurs de plus en plus sophistiqués, interprétés par ses amis et ses sœurs. Mais lorsque ses parents décident de déménager dans l’ouest du pays, il découvre une réalité bouleversante sur sa mère qui bouscule ses rapports avec elle et fait basculer son avenir et celui de ses proches.",['Drama'],151,7.5,122957,https://image.tmdb.org/t/p/original/4HNGWeWe1w0KT8A829cU5uVVeWK.jpg,en,11.3527,32.198,25.015,https://www.youtube.com/watch?v=wvr-D5bI59A
123,The Outfit,2022,['Graham Moore'],"['Mark Rylance', 'John Gumley-Mason', 'Stephen Knox', 'Steve Chatfield', 'Michal Forejtek', ""Dylan O'Brien"", 'Johnny Flynn', 'Johnathan McClain', 'Lauris Karklins', 'Zoey Deutch']","1956. Ancien tailleur dans le célèbre quartier de Savile Row à Londres, Leonard Burling a quitté son pays pour s'installer en Amérique. À Chicago, il tient aujourd'hui une petite boutique de costumes, dans un quartier défavorisé. Malheureusement pour lui, la plupart de ses clients sont des gangsters de l’Outfit et de la mafia irlandaise dirigée par Roy Boyle. Le bras droit de Roy est son fils Richie. Ce dernier fréquente par ailleurs Mable, la réceptionniste de Leonard. Le tailleur anglais va se retrouver impliqué dans les activités des mafieux.","['Crime', 'Drama', 'Thriller', 'Mystery']",105,7.2,77635,https://image.tmdb.org/t/p/original/zbGN4QBrKoT3HO7etj4FvlM3OZb.jpg,en,8.8994,1.089,27.797,indisponible
124,Violent Night,2022,['Tommy Wirkola'],"['David Harbour', 'John Leguizamo', 'Alex Hassell', 'Cam Gigandet', 'André Eriksen', 'Brendan Fletcher', ""Beverly D'Angelo"", 'Alexis Louder', 'Edi Patterson', 'Leah Brady']","Le soir de Noël, quand un groupe de mercenaires entre par effraction sur la propriété d’une famille aisée qu’ils prennent en otage, ils vont devoir affronter un adversaire auquel ils ne s’attendaient pas : Le Père Noël est dans la place et il va leur montrer que ce bon vieux Saint Nicolas a plus d’un tour dans sa hotte.","['Comedy', 'Action']",112,6.7,104290,https://image.tmdb.org/t/p/original/bUWncunJts6fxTnPR7BtMRkJmVj.jpg,en,15.366,4.379,72.3,https://www.youtube.com/watch?v=zPd18hNAewI
